VSG_ID,Pass_No,Lat_lower,Lat_Upper,Long_left,Long_right
1,140,12.002012,12.019098,105.481,105.481
2,1,12.492662,12.533555,104.483,104.483
3,179,18.324416,18.34867,103.94,103.94
4,129,20.090311,20.110374,93.333,93.333
5,129,22.870127,22.891298,94.532,94.532
6,27,16.672324,16.700144,97.602,97.602
7,103,12.323246,12.356755,98.748,98.748
8,166,16.497087,16.520976,95.233,95.233
9,242,24.245885,24.283141,94.776,94.776
10,205,16.459541,16.496886,94.575,94.575
11,205,16.272259,16.307903,94.61,94.61
12,205,16.459541,16.496886,94.685,94.685
13,205,18.21917,18.227845,95.389,95.389
14,242,21.902541,21.920068,95.822,95.822
15,64,25.088243,25.093294,97.234,97.234
16,77,11.790168,11.943038,107.071,107.071
17,77,11.955464,11.994595,107.111,107.111
18,216,21.017902,21.081763,104.699,104.699
19,77,9.971145,9.998633,106.368,106.368
20,77,10.101204,10.126308,106.415,106.415
21,77,15.464265,15.504616,108.467,108.467
22,216,14.000,14.026,107.551,107.551
